capability_id,input_semantic,field_or_artifact,source_class,native_status,current_ingestion,units_or_coordinate,vertical_support,case_evidence,direct_raw_case_seen_this_session,dmax_direct_eligibility,psd_direct_eligibility,allowed_phase2_use,forbidden_interpretation,current_readiness,evidence_basis
GFS-ICE-001,Cloud ice mixing ratio,ICMR / cloud_ice_water_kgkg,GFS_NATIVE_GRIB,CONFIRMED_NATIVE,pgrb2.0p25 pressure levels; pgrb2b supplemental Canvas levels,kg/kg,Isobaric pressure levels; interpolated to AGL voxel lattice downstream,TWS106 baseline source-attribution reported native ICMR; .10.11.2 Ice runtime derives IWP downstream,NO,NO,NO,Ice mass / vertical profile input; candidate input to a future calibrated mapping only,"ICMR alone must not be converted to Dmax, PSD, habit, or roughness",AVAILABLE_AS_NATIVE_MASS_INPUT,repo main gfs_native.py + native_cloud.py + baseline CASE summary
GFS-ICE-002,Cloud liquid water mixing ratio,CLWMR / cloud_liquid_water_kgkg,GFS_NATIVE_GRIB,CONFIRMED_NATIVE,pgrb2.0p25 pressure levels; pgrb2b supplemental Canvas levels,kg/kg,Isobaric pressure levels; interpolated to AGL voxel lattice downstream,TWS106 baseline source-attribution reported native CLWMR,NO,NO,NO,Mixed-phase/context input only; candidate input to a future calibrated mapping only,"Must not be used to fabricate ice size, PSD, habit, or roughness",AVAILABLE_AS_NATIVE_PHASE_CONTEXT,repo main gfs_native.py + native_cloud.py + baseline CASE summary
GFS-ICE-003,Snow water mixing ratio,SNMR / snow_water_kgkg,GFS_NATIVE_GRIB,CONFIRMED_NATIVE,pgrb2.0p25 primary GFS native request,kg/kg,Requested on configured pressure levels,No raw CASE row reopened in this session,NO,NO,NO,Frozen-hydrometeor/precipitation context; future mapping input only if a calibrated contract explicitly requires it,Snow mixing ratio is not cloud-ice Dmax or PSD,AVAILABLE_AS_NATIVE_ANCILLARY_FROZEN_HYDROMETEOR,repo main gfs_native.py
GFS-ICE-004,Graupel mixing ratio,GRLE / graupel_kgkg,GFS_NATIVE_GRIB,CONFIRMED_NATIVE,pgrb2.0p25 primary GFS native request,kg/kg,Requested on configured pressure levels,No raw CASE row reopened in this session,NO,NO,NO,Frozen-hydrometeor/precipitation context; future mapping input only if calibrated,Graupel mixing ratio is not cloud-ice Dmax or PSD,AVAILABLE_AS_NATIVE_ANCILLARY_FROZEN_HYDROMETEOR,repo main gfs_native.py
GFS-ICE-005,Rain water mixing ratio,RWMR / rain_water_kgkg,GFS_NATIVE_GRIB,CONFIRMED_NATIVE,pgrb2.0p25 primary GFS native request,kg/kg,Requested on configured pressure levels,No raw CASE row reopened in this session,NO,NO,NO,Liquid-precipitation/context input only,Must not be used to infer ice particle size,AVAILABLE_AS_NATIVE_ANCILLARY_HYDROMETEOR,repo main gfs_native.py
GFS-ICE-006,Cloud fraction,TCDC / cloud_fraction,GFS_NATIVE_GRIB,CONFIRMED_NATIVE,pgrb2.0p25 primary GFS native request,Provider cloud-cover field; normalized downstream where applicable,Pressure-level request in native provider,TWS106 baseline native voxel evidence included cloud_fraction,NO,NO,NO,Cloud occupancy/context only,"Cloud fraction must not fabricate condensate, Dmax, PSD, habit, or roughness",AVAILABLE_AS_NATIVE_CONTEXT,repo main gfs_native.py + baseline CASE summary
GFS-ICE-007,Temperature,TMP / temperature_k,GFS_NATIVE_GRIB,CONFIRMED_NATIVE,pgrb2.0p25 primary; pgrb2b supplemental Canvas probe,K,Isobaric levels,Used by native_cloud.py to compute air density; raw TWS175 row not reopened in this session,NO,NO,NO,Thermodynamic context; candidate input to a future source-cited calibrated mapping,"Temperature alone must not select Dmax, PSD, habit, or roughness",AVAILABLE_AS_NATIVE_THERMODYNAMIC_INPUT,repo main gfs_native.py + gfs_canvas_optical_probe.py + native_cloud.py
GFS-ICE-008,Pressure coordinate,GRIB typeOfLevel + level -> pressure_hpa,GFS_NATIVE_COORDINATE_METADATA,CONFIRMED_NATIVE_METADATA,isobaricInhPa / isobaricInPa inventory,hPa,24 primary configured levels; supplemental pgrb2b levels for Canvas probe,gfs_grib_message_inventory and field completeness are exported by model,NO,NO,NO,Vertical coordinate and density/thermodynamic support,Pressure alone cannot infer particle size,AVAILABLE_AS_NATIVE_COORDINATE_METADATA,repo main gfs_native.py + model.py
GFS-ICE-009,Geopotential height,HGT / geopotential_height_m,GFS_NATIVE_GRIB,CONFIRMED_NATIVE,pgrb2.0p25 primary; pgrb2b supplemental Canvas probe,m,Isobaric levels,Used to place pressure levels on the AGL voxel lattice,NO,NO,NO,Vertical geometry support,Cloud thickness/height must not be used to guess Dmax or PSD,AVAILABLE_AS_NATIVE_VERTICAL_GEOMETRY,repo main gfs_native.py + gfs_canvas_optical_probe.py + native_cloud.py
GFS-ICE-010,Relative humidity,RH / relative_humidity_pct,GFS_NATIVE_GRIB,CONFIRMED_NATIVE,pgrb2.0p25 primary GFS native request,%,Isobaric levels,Available in native levels; not an ice-size field,NO,NO,NO,Environmental context only unless a future calibrated mapping explicitly requires it,"RH must not fabricate condensate, Dmax, PSD, habit, or roughness",AVAILABLE_AS_NATIVE_CONTEXT,repo main gfs_native.py + native_cloud.py
DER-ICE-011,Ice water content,ice_water_content_gm3,PHYSICSCORE_DERIVED_FROM_NATIVE,DERIVED_NOT_NATIVE,qi(ICMR) × air_density × 1000,g/m^3,AGL voxel lattice within native vertical support,Generated by native_cloud.py,NO,NO,NO,Mass-content input; candidate input to future calibrated bulk/PSD mapping,IWC alone is not Dmax or PSD,AVAILABLE_AS_DETERMINISTIC_DERIVED_MASS,repo main native_cloud.py
DER-ICE-012,Ice water path,ice_water_path_proxy_gm3_km -> native_iwp_kg_m2,PHYSICSCORE_DERIVED_FROM_NATIVE,DERIVED_NOT_NATIVE,Vertical sum of IWC × voxel step; numerically kg/m^2,kg/m^2 at Ice runtime interface,Requires native vertical support,.10.11.2 TWS175: 2691 runtime rows; 213 positive-IWP; 2478 exact-zero IWP,NO,NO,NO,Bulk ice mass/path input,IWP must not be converted to Dmax or PSD without a calibrated mapping contract,AVAILABLE_AS_DERIVED_MASS_PATH,repo main native_cloud.py + ice_cloud_spectral_optics.py + baseline CASE summary
DER-ICE-013,Native vertical completeness,native_vertical_completeness,PHYSICSCORE_DERIVED_DIAGNOSTIC,DERIVED_NOT_NATIVE,Mean support of native condensate over voxel column,0..1,Column diagnostic,.10.11.2 TWS175 reported 1.0,NO,NO,NO,Eligibility gate / fail-close support,Completeness is not microphysics size information,AVAILABLE_AS_QUALITY_GATE,repo main native_cloud.py + baseline CASE summary
RT-ICE-014,Maximum particle dimension,ice_maximum_dimension_um / maximum_dimension_um,ICE_RUNTIME_INPUT_SLOT,NOT_POPULATED_BY_CURRENT_GFS_INGEST,Ice runtime reads slot if caller supplies it; native_cloud_columns does not create it,um,Unresolved,.10.11.2 positive-IWP rows had no legal Dmax mapping; MICROPHYSICS_MAPPING_READY=false,NO,POTENTIALLY_YES_ONLY_IF_NATIVE_SEMANTICS_PROVEN,NO,Only after native Dmax provenance is proven or a calibrated mapping is separately approved,"Do not populate from r_eff, CER, IWP, T, RH, CF, or cloud thickness by assumption",NATIVE_DMAX_NOT_ESTABLISHED,repo main ice_cloud_spectral_optics.py + model.py + baseline contract
RT-ICE-015,Ice effective radius,ice_effective_radius_um,ICE_RUNTIME_DIAGNOSTIC_SLOT,NOT_POPULATED_BY_CURRENT_GFS_INGEST,Runtime can carry value; current GFS provider/native_cloud pipeline does not create it,um,Unresolved,No native effective-radius field proven in current GFS/CASE evidence,NO,NO,NO,Diagnostic/mapping metadata only if later proven from a source,"No r_eff -> Dmax conversion without a separately calibrated, source-cited mapping",NATIVE_REFF_NOT_ESTABLISHED,repo main ice_cloud_spectral_optics.py + current GFS field inventory
RT-ICE-016,Ice crystal habit,ice_habit,ICE_RUNTIME_INPUT_SLOT,NOT_POPULATED_BY_CURRENT_GFS_INGEST,Defaults to UNKNOWN if absent,categorical Yang/Bi habit,Unresolved,Current contract remains unresolved,NO,N/A,N/A,Remain unresolved until a calibrated/source-backed habit strategy exists,Do not choose a fixed habit as production truth,ICE_HABIT_UNRESOLVED,repo main ice_cloud_spectral_optics.py + baseline contract
RT-ICE-017,Ice surface roughness,surface_roughness,ICE_RUNTIME_INPUT_SLOT,NOT_POPULATED_BY_CURRENT_GFS_INGEST,Defaults to UNKNOWN if absent,categorical Yang/Bi roughness state,Unresolved,Current contract remains unresolved,NO,N/A,N/A,Remain unresolved or later sensitivity/calibrated strategy; no default now,Do not silently select Rough000/Rough003/Rough050,ICE_ROUGHNESS_UNRESOLVED,repo main ice_cloud_spectral_optics.py + baseline contract
