step3j_version,science_baseline,step3j_mode,evidence_id,evidence_type,pin_status,value,semantic_role,authoritative_for_runtime_mapping,source_reference,source_path,source_sha,notes
R5.7.41.3.4.10.23,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_YANG_CEXT_DIAGNOSTIC_BULK_INTEGRATION_FAIL_CLOSED,STEP3I_HYBRID_POPULATION_BRIDGE_INHERITANCE,PRIOR_QUALIFICATION_INHERITANCE,PASS_INHERITED_STEP3I_NUMERIC_BRIDGE,Wyser number population + Yang/Bi single-particle Cext reference kernel,DIAGNOSTIC_BULK_INPUTS_ONLY,False,R5.7.41.3.4.10.22 Step 3I,ice_microphysics_wyser_yang_population_bridge,,Step 3J inherits numeric executability without inheriting production eligibility.
R5.7.41.3.4.10.23,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_YANG_CEXT_DIAGNOSTIC_BULK_INTEGRATION_FAIL_CLOSED,DIAGNOSTIC_BULK_INTEGRATION_DEFINITION,MATHEMATICAL_NUMERIC_CONTRACT,PINNED_DIAGNOSTIC_BETA_KEXT_DEFINITION,"beta_ext=integral[n_wyser(D)*Cext_yang(D,lambda)dD];k_ext=beta_ext/IWC_kg_m3",DIAGNOSTIC_BULK_EXTINCTION_ONLY,False,Step 3D mathematical contract + Step 3I hybrid bridge,ice_microphysics_wyser_yang_diagnostic_bulk_integration,,IWC is converted from g/m3 to kg/m3 only when forming k_ext in m2/kg.
R5.7.41.3.4.10.23,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_YANG_CEXT_DIAGNOSTIC_BULK_INTEGRATION_FAIL_CLOSED,DIAGNOSTIC_CEXT_INTERPOLATION,NUMERICAL_METHOD_CONTRACT,PINNED_LOGLOG_WITH_SOURCE_KNOTS_NO_EXTRAPOLATION,LOG_D_LOG_CEXT_PIECEWISE_LINEAR_WITH_SOURCE_KNOTS_NO_EXTRAPOLATION,NUMERICAL_INTERPOLATION_NOT_MICROPHYSICAL_MAPPING,False,Yang/Bi V2 compact source knots,firecloud/data/ice_optics/portable_ice_optics_lut_v1.csv,,Every source Dmax knot is forced onto each integration grid; interpolation never extrapolates beyond 10-1000 um.
R5.7.41.3.4.10.23,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_YANG_CEXT_DIAGNOSTIC_BULK_INTEGRATION_FAIL_CLOSED,DIAGNOSTIC_SIX_BAND_BULK_EXTINCTION,DIAGNOSTIC_NUMERIC_BULK_RESULT,PASS_DIAGNOSTIC_BETA_KEXT_NUMERIC,sample_T=253.16K;IWC=0.1g/m3;kext_m2kg=550:35.339893880877376|575:35.356099981373973|600:35.497812007536652|650:35.736078690506126|700:35.568125343989152|750:35.410645731319953,SIX_BAND_BETA_EXT_AND_K_EXT_DIAGNOSTIC_ONLY,False,Wyser Eq.(6) PSD normalization + Yang/Bi V2 Cext kernel,Step 3J 18-case diagnostic matrix,,These are diagnostic bulk coefficients and are not written to runtime ice optics.
R5.7.41.3.4.10.23,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_YANG_CEXT_DIAGNOSTIC_BULK_INTEGRATION_FAIL_CLOSED,DIAGNOSTIC_BULK_GRID_CONVERGENCE,NUMERICAL_CONVERGENCE_GATE,PASS_DIAGNOSTIC_GRID_CONVERGENCE,max_relative_error=2.8615945138814625e-06;tolerance=0.00050000000000000001,NUMERICAL_STABILITY_NOT_SCIENTIFIC_VALIDATION,False,1025/4097 point grids vs 16385 point reference,Step 3J diagnostic matrix,,Convergence only qualifies the numerical integrator; it does not validate habit/roughness or physical representativeness.
R5.7.41.3.4.10.23,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_YANG_CEXT_DIAGNOSTIC_BULK_INTEGRATION_FAIL_CLOSED,DIAGNOSTIC_PSD_MASS_CLOSURE,NUMERICAL_MASS_CLOSURE_GATE,PASS_DIAGNOSTIC_MASS_CLOSURE,max_relative_error=3.5527136788005011e-16,WYSER_EQ6_POPULATION_NORMALIZATION_DIAGNOSTIC_ONLY,False,R5.7.41.3.4.10.20.1 Step 3G,Step 3J integration grids,,Scientific mass closure remains blocked by independent Eq.(6) corroboration policy.
R5.7.41.3.4.10.23,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_YANG_CEXT_DIAGNOSTIC_BULK_INTEGRATION_FAIL_CLOSED,SCIENTIFIC_BULK_INDEPENDENT_VALIDATION,SCIENTIFIC_PROMOTION_GATE,BLOCKED_NOT_PERFORMED,false,INDEPENDENT_REFERENCE_REQUIRED,False,future independent bulk optics comparison,Step 3J promotion policy,,Diagnostic numeric convergence is not independent scientific validation.
R5.7.41.3.4.10.23,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_YANG_CEXT_DIAGNOSTIC_BULK_INTEGRATION_FAIL_CLOSED,YANG_BI_HABIT_BRIDGE,MICROPHYSICS_TO_OPTICS_GATE,BLOCKED,false,NO_RUNTIME_HABIT_DEFAULT,False,Step 3I,single_column is diagnostic reference only,,No GFS/Wyser runtime habit variable has been validated to select single_column.
R5.7.41.3.4.10.23,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_YANG_CEXT_DIAGNOSTIC_BULK_INTEGRATION_FAIL_CLOSED,YANG_BI_ROUGHNESS_BRIDGE,MICROPHYSICS_TO_OPTICS_GATE,BLOCKED,false,NO_RUNTIME_ROUGHNESS_DEFAULT,False,Step 3I,Rough000 is diagnostic reference only,,Rough000 is not a production default.
R5.7.41.3.4.10.23,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_YANG_CEXT_DIAGNOSTIC_BULK_INTEGRATION_FAIL_CLOSED,BULK_YANG_BI_PSD_PRODUCTION_ELIGIBILITY,PRODUCTION_PROMOTION_GATE,BLOCKED_DIAGNOSTIC_ONLY,false,NO_BULK_RUNTIME_PROMOTION,False,Step 3J,diagnostic-only bulk integration,,Numeric beta/k_ext availability does not make the hybrid PSD×kernel scientifically eligible for runtime use.
