step3e_version,science_baseline,step3e_mode,evidence_id,evidence_type,pin_status,value,semantic_role,authoritative_for_runtime_mapping,source_reference,source_path,source_sha,notes
R5.7.41.3.4.10.18,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_NORMALIZATION_GEOMETRY_COORDINATE_QUALIFICATION_ONLY,WYSER_PSD_AMPLITUDE_IWC_NORMALIZATION,PRIMARY_PSD_NORMALIZATION_RULE,PINNED_PRIMARY_EQUATIONS_7_8,n(L)=A*n_x(L); A=IWC/integral[m(L)*n_x(L)dL] over the selected Wyser size domain,IWC_CONSTRAINED_PSD_AMPLITUDE,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,"Wyser (1998), section 3, equations 7-8",,Primary text explicitly links the free PSD amplitude to IWC and inverts the mass integral. The rule is pinned; numerical execution remains blocked until the same-population mass/geometry contract is pinned.
R5.7.41.3.4.10.18,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_NORMALIZATION_GEOMETRY_COORDINATE_QUALIFICATION_ONLY,WYSER_MIXED_PSD_SHAPE_FUNCTION,PRIMARY_PSD_SHAPE,PINNED_PIECEWISE_SHAPE,phi(L)=L^nu*exp(-lambda*L) for L<=20 um; phi(L)=alpha*L^B for L>20 um; nu=3; lambda=0.3 um^-1,UNNORMALIZED_MIXED_PSD_SHAPE,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,"Wyser (1998), mixed distribution section/equation 15 lineage",,The mixed Gamma + power-law structure and small-particle Gamma parameters are primary-source supported. This row deliberately uses phi(L) for the unnormalized shape to separate shape from IWC amplitude.
R5.7.41.3.4.10.18,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_NORMALIZATION_GEOMETRY_COORDINATE_QUALIFICATION_ONLY,WYSER_MIXED_BRANCH_CONTINUITY_FACTOR,ANALYTIC_JOIN_CONTRACT,PINNED_ANALYTIC_FROM_CONTINUITY,alpha=20^(nu-B)*exp(-lambda*20) when both branches use one common amplitude A and continuity is imposed at L=20 um,GAMMA_POWERLAW_CONTINUITY_FACTOR,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,"Wyser (1998), continuity requirement at 20 um + algebraic consequence",,This is an algebraic consequence of the pinned piecewise forms and primary continuity requirement; it does not introduce an empirical coefficient.
R5.7.41.3.4.10.18,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_NORMALIZATION_GEOMETRY_COORDINATE_QUALIFICATION_ONLY,WYSER_POWERLAW_B_GFSV16_SOURCE,PUBLIC_SOURCE_PARAMETERIZATION,PINNED_GFSV16_SOURCE_EQUIVALENT,"B=-2 + 1e-3*log10(IWC/IWC0)*max(0,Tice-T)^1.5; IWC0=50 g m^-3",POWERLAW_SLOPE_CONTROL,False,https://github.com/ufs-community/ccpp-physics/blob/ufs/dev/physics/MP/GFDL/v1_2019/gfdl_cloud_microphys_mod.F90,cloud_diagnosis :: reiflag=2 :: bw,ad0304074e17a7b83be2f0fe016345b7f11be4ef,"Public GFDL v1 reproduction source pins the operational-family B(T,IWC) numerical expression used before the rei fit."
R5.7.41.3.4.10.18,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_NORMALIZATION_GEOMETRY_COORDINATE_QUALIFICATION_ONLY,WYSER_NUMERIC_MASS_SIZE_CONTRACT,NUMERIC_RECONSTRUCTION_REQUIREMENT,UNRESOLVED_EXACT_NUMERIC_EQUATION_6,PRIMARY_TEXT_CONFIRMS_MASS_FROM_SIZE_DEPENDENT_DENSITY_AND_VOLUME_BUT_MACHINE_EXTRACTED_NUMERIC_COEFFICIENTS_NOT_ACCEPTED,MASS_CLOSURE_INTEGRAND_M_OF_L,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,"Wyser (1998), equation 6",,"The amplitude rule is known, but PhysicsCore does not numerically evaluate A until equation-6 coefficients/units are independently pinned from a primary-quality representation."
R5.7.41.3.4.10.18,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_NORMALIZATION_GEOMETRY_COORDINATE_QUALIFICATION_ONLY,WYSER_ABSOLUTE_PSD_RECONSTRUCTION_EXECUTABLE,EXECUTION_GATE,BLOCKED,false,NO_NUMERIC_N_OF_L_YET,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,Step 3E separation of normalization rule from executable reconstruction,,Do not confuse a pinned normalization equation with a production-ready numeric PSD. Exact m(L)/geometry remains required.
R5.7.41.3.4.10.18,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_NORMALIZATION_GEOMETRY_COORDINATE_QUALIFICATION_ONLY,WYSER_EXACT_COLUMN_WIDTH_LAW,PRIMARY_GEOMETRY_REQUIREMENT,UNRESOLVED_PRIMARY_EQUATION_5,PRIMARY_TEXT_CONFIRMS_CONTINUOUS_SIZE_DEPENDENT_L_TO_WIDTH_RELATION_BUT_EXACT_EQUATION_IMAGE_NOT_PROMOTED,WYSER_L_TO_COLUMN_WIDTH,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,"Wyser (1998), equation 5",,Primary text says Eq.5 is continuous and close to Ebert-Curry. PhysicsCore refuses to replace it with a later/secondary D=0.7L / D=6.96sqrt(L) relation without exact lineage proof.
R5.7.41.3.4.10.18,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_NORMALIZATION_GEOMETRY_COORDINATE_QUALIFICATION_ONLY,SECONDARY_COLUMN_WIDTH_LAW_CANDIDATE,SECONDARY_GEOMETRY_REFERENCE,REFERENCE_ONLY_NOT_SUBSTITUTABLE,D=0.7L for L<100 um; D=6.96*sqrt(L) for L>=100 um appears in later column-model literature,GEOMETRY_CANDIDATE_FOR_LINEAGE_CHECK_ONLY,False,https://journals.ametsoc.org/view/journals/atsc/76/9/jas-d-19-0031.1.xml,Later Yang-lineage hexagonal-column aspect-ratio definition,,Useful for lineage comparison only. It must not be silently substituted for Wyser Eq.5.
R5.7.41.3.4.10.18,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_NORMALIZATION_GEOMETRY_COORDINATE_QUALIFICATION_ONLY,HEX_COLUMN_MAXIMUM_DIMENSION_GEOMETRY,COORDINATE_GEOMETRY_REQUIREMENT,GEOMETRIC_FORM_IDENTIFIED_NOT_WYSER_BRIDGED,"for a prism described by axial length L and basal span D, particle maximum dimension depends on both dimensions (not L alone)",WHY_L_IS_NOT_AUTOMATICALLY_DMAX,False,https://www.giss.nasa.gov/pubs/abs/ya07100h.html,Yang/Bi maximum-dimension optical coordinate + hexagonal-prism geometry,,"The Yang/Bi axis is maximum dimension. Until exact Wyser D(L) and the Yang solid-column geometry convention are matched, L cannot be used as Dmax."
R5.7.41.3.4.10.18,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_NORMALIZATION_GEOMETRY_COORDINATE_QUALIFICATION_ONLY,WYSER_L_TO_YANG_DMAX_COORDINATE_BRIDGE,COORDINATE_BRIDGE_REQUIREMENT,UNRESOLVED,false,NO_L_TO_DMAX_RUNTIME_COORDINATE,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2|https://www.giss.nasa.gov/pubs/abs/ya07100h.html,Step 3E coordinate audit,,Numerical domain overlap is insufficient. Exact geometry and Yang/Bi solid-column coordinate semantics must be demonstrated.
