check_id,category,status,observed,required,physics_promotion_allowed,notes
FU96_EQ39_PRIMARY_SOLAR_COEFFICIENT_INPUT_SET_RECOVERED,FORWARD_RECONSTRUCTION_INPUT,PASS_QUALIFIED,Six Fu solar primary bands recovered: ap Eq3.9a + bps Eq3.9b + cp Eq3.9c + dps Eq3.9d; 90 numeric coefficients total,PINNED_EXECUTABLE_PRIMARY_BAND_COEFFICIENT_INPUT_SET,False,https://github.com/XHU-sysu/pyCFRAM/blob/3a07581a509936829bca1743e038b0ad9a435ba9/fortran/Fu/cas_fu_radiation.f
FU96_PRIMARY_SOLAR_COEFFICIENT_CROSS_REPOSITORY_REPLICATION_90_OF_90,FORWARD_RECONSTRUCTION_INPUT,PASS_QUALIFIED,90/90 solar ap/bps/cp/dps numeric values are identical across the pinned pyCFRAM Fu source and DavidEngland/ABL copy,CROSS_REPOSITORY_NUMERIC_REPLICATION_WITHOUT_CLAIMING_INDEPENDENT_HISTORICAL_ARCHIVE,False,https://github.com/DavidEngland/ABL/blob/6813100d1db7f16bdb2340949fd5659ae9604085/refs/OneDModelRad/misc_subs_flcode.f
FU96_PRIMARY_BAND_FORWARD_MODEL_EXECUTABLE,FORWARD_RECONSTRUCTION_INPUT,PASS_QUALIFIED,"Recovered source explicitly evaluates extinction=ap0+ap1/Dge, SSA=1-poly(bps,Dge), g=poly(cp,Dge), and forward-delta=poly(dps,Dge) for six solar bands",DIAGNOSTIC_FORWARD_MODEL_AVAILABLE_NO_PRODUCTION_PROMOTION,False,https://github.com/XHU-sysu/pyCFRAM/blob/3a07581a509936829bca1743e038b0ad9a435ba9/fortran/Fu/cas_fu_radiation.f
RRTMG_FU96_FORWARD_GENERATION_PROCESS_DOCUMENTED,FORWARD_RECONSTRUCTION_PROCESS,PASS_QUALIFIED,"GCRT documentation states Fu96 Eq3.8/3.9 + Tables3a-3d optical properties are calculated at source wavelengths, interpolated to a fine spectral grid, then averaged over each RRTMG band to populate extice3/ssaice3/asyice3/fdlice3",FORWARD_FINE_GRID_THEN_RRTMG_BAND_AVERAGE_PROCESS_PINNED,False,https://wiki.seas.harvard.edu/geos-chem/images/Guide_to_GCRT_Oct2013.pdf
FU96_OPTICAL_INTERVAL_VS_TRANSPORT_BAND_LABEL_DISTINCTION,SCOPE_GUARD,PASS_QUALIFIED,"Recovered Fu transport code labels band 2 as 0.7-1.3 um, while Fu96-lineage optical-property averaging documents 0.7-1.41 um; transport labels must not be substituted for the historical optical averaging interval",TRANSPORT_INTERVAL_AND_OPTICAL_PROPERTY_AVERAGING_INTERVAL_MUST_REMAIN_DISTINCT,False,https://doi.org/10.1175/2007JAS2289.1
RRTMG_BAND25_DIRECT_FU_PRIMARY_BROADBAND_COPY_REPRODUCTION,FORWARD_RECONSTRUCTION_DIAGNOSTIC,PASS_MISMATCH_QUALIFIED,Direct Fu first-primary-band Eq3.9 evaluation over 46 Dge nodes does not exactly reproduce archived RRTMG band25: extinction relative RMSE=0.004781123955; asymmetry relative RMSE=0.001095515042; therefore archived Band25 is not a direct copy of the recovered broad-band coefficients,DIRECT_BROADBAND_COEFFICIENT_COPY_MUST_NOT_BE_USED_AS_EXACT_RRTMG_BAND25_RECONSTRUCTION,False,https://github.com/XHU-sysu/pyCFRAM; https://github.com/AER-RC/RRTMG_SW
RRTMG_FINE_SPECTRAL_GRID_REALIZATION_RECOVERED,EXACT_WEIGHTING_PREREQUISITE,BLOCKED_NOT_RECOVERED,"Forward process class is documented, but exact fine-grid wavelength nodes/interpolation implementation used for the archived Fu96 RRTMG tables is not recovered",EXACT_FINE_GRID_NODES_INTERPOLATION_AND_SOLAR_WEIGHTS_OR_EQUIVALENT_DETERMINISTIC_REPRODUCTION_REQUIRED,False,
FU96_PRIMARY_SOLAR_ICE_PARAMETERIZATION_PINNED,PRIMARY_SCIENCE_SOURCE,PASS_PINNED,Fu 1996 solar cirrus parameterization; Dge-based extinction/SSA framework; spectral averaging is scientifically material,PRIMARY_FU96_SOURCE_PINNED,False,https://doi.org/10.1175/1520-0442(1996)009<2058:AAPOTS>2.0.CO;2
FU96_SSA_SPECTRAL_AVERAGING_SIGNIFICANCE,PRIMARY_SCIENCE_SOURCE,PASS_CONFIRMED,Fu 1996 identifies SSA averaging technique in absorption-band spectral intervals as important,AVERAGING_SEMANTICS_MUST_NOT_BE_REPLACED_BY_ARBITRARY_MEAN,False,Primary source establishes materiality but not the later historical RRTM_SW discrete weight vector.
FU96_HISTORICAL_COALBEDO_MIXED_LINEAR_LOG_SEMANTIC,WEIGHTING_SEMANTICS,PASS_CONFIRMED,Fu-lineage documentation states Fu (1996) used a mix of solar-weighted linear and logarithmic averaging for single-scattering coalbedo depending on absorption strength,HISTORICAL_FU96_SSA_COALBEDO_MUST_NOT_BE_REPLACED_BY_SIMPLE_LINEAR_OR_MODERN_RATIO_FORMULA,False,https://doi.org/10.1175/1520-0442(1998)011<0202:PFCOAS>2.0.CO;2
