step3f_version,science_baseline,step3f_mode,evidence_id,evidence_type,pin_status,value,semantic_role,authoritative_for_runtime_mapping,source_reference,source_path,source_sha,notes
R5.7.41.3.4.10.19,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_EQ5_EQ6_MASS_GEOMETRY_CLOSURE_QUALIFICATION_ONLY,WYSER_EQ5_PRIMARY_SEMANTIC,PRIMARY_GEOMETRY_SEMANTIC,PINNED_PRIMARY_SEMANTIC_ONLY,Eq.(5) defines a continuous relationship between solid-column length L and width D; all crystals are treated as hexagonal columns with size-dependent aspect ratio,PRIMARY_COLUMN_GEOMETRY_SEMANTIC,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,"Wyser (1998), section 2, equation 5 surrounding text",,"Primary HTML text pins the role and continuity of Eq.(5), but the numerical equation is rendered as an image and is not promoted from OCR inference."
R5.7.41.3.4.10.19,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_EQ5_EQ6_MASS_GEOMETRY_CLOSURE_QUALIFICATION_ONLY,WYSER_EQ5_GEOMETRY_LINEAGE,SECONDARY_GEOMETRY_LINEAGE,CORROBORATED_SECONDARY_LINEAGE,D=2.5*L^0.6 for hexagonal columns,WYSER_WYSER_YANG_COLUMN_GEOMETRY_CANDIDATE,False,https://doi.org/10.1029/2009JD013313|https://acp.copernicus.org/preprints/9/24361/2009/acpd-9-24361-2009-print.pdf,Yost et al. (2010) section 3.2 explicitly attributes D=2.5 L^0.6 to Wyser and Yang (1998); ACP lineage independently repeats attribution,,"Strong corroborating lineage. This is not equivalent to extracting the numeric primary Eq.(5) from Wyser (1998), so it remains non-authoritative for runtime mapping."
R5.7.41.3.4.10.19,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_EQ5_EQ6_MASS_GEOMETRY_CLOSURE_QUALIFICATION_ONLY,WYSER_EQ5_PRIMARY_NUMERIC_EQUATION,PRIMARY_NUMERIC_GEOMETRY_REQUIREMENT,UNRESOLVED_PRIMARY_EQUATION_IMAGE,false,NO_PRIMARY_NUMERIC_EQ5_PROMOTION,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,"Wyser (1998), equation 5 image",,PhysicsCore does not promote the secondary D=2.5*L^0.6 lineage as the exact primary Eq.(5) until a primary-quality machine-verifiable equation representation is obtained.
R5.7.41.3.4.10.19,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_EQ5_EQ6_MASS_GEOMETRY_CLOSURE_QUALIFICATION_ONLY,WYSER_EQ6_PRIMARY_MASS_SEMANTIC,PRIMARY_MASS_SIZE_SEMANTIC,PINNED_PRIMARY_SEMANTIC_ONLY,m(L)=rho(L)*V(L); density and volume are parameterized as functions of L for cold solid columns with L/D>2; m in grams and L in microns,PRIMARY_MASS_SIZE_SEMANTIC,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,"Wyser (1998), equation 6 surrounding text",,"Primary prose pins variables, units, and particle regime, but the machine-extracted equation is corrupt and cannot serve as a numerical mass-size law."
R5.7.41.3.4.10.19,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_EQ5_EQ6_MASS_GEOMETRY_CLOSURE_QUALIFICATION_ONLY,WYSER_EQ6_MASS_SIZE_PRIMARY_NUMERIC,PRIMARY_NUMERIC_MASS_SIZE_REQUIREMENT,UNRESOLVED_CORRUPT_MACHINE_EXTRACTION,false,M_OF_L_NUMERIC_CONTRACT_BLOCKER,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,"Wyser (1998), equation 6 image / corrupt text extraction",,Do not reconstruct coefficients or exponents from the corrupt OCR string. Exact primary-quality numeric m(L) remains required before execution.
R5.7.41.3.4.10.19,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_EQ5_EQ6_MASS_GEOMETRY_CLOSURE_QUALIFICATION_ONLY,WYSER_IWC_AMPLITUDE_NORMALIZATION_CARRY_FORWARD,PRIMARY_NORMALIZATION_RULE,PINNED_PRIMARY_EQUATIONS_7_8,A=IWC/integral[m(L)*phi(L)dL],ABSOLUTE_PSD_AMPLITUDE_RULE,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,"Wyser (1998), equations 7-8",,Normalization rule is valid structurally but cannot be numerically executed until exact m(L) is pinned.
R5.7.41.3.4.10.19,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_EQ5_EQ6_MASS_GEOMETRY_CLOSURE_QUALIFICATION_ONLY,ABSOLUTE_PSD_RECONSTRUCTION_EXECUTABLE,EXECUTION_GATE,BLOCKED,false,NO_NUMERIC_N_OF_L_YET,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,Step 3F exact-mass requirement,,A corroborated geometry lineage is not sufficient to execute absolute n(L) without exact primary m(L).
R5.7.41.3.4.10.19,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_EQ5_EQ6_MASS_GEOMETRY_CLOSURE_QUALIFICATION_ONLY,PSD_MASS_CLOSURE_VALIDATION,NUMERICAL_VALIDATION_GATE,NOT_EXECUTABLE_WITHOUT_EXACT_M_OF_L,integral[m(L)*n(L)dL]=IWC must pass explicit tolerance across supported T/IWC domain,MASS_CLOSURE_VALIDATION,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,Wyser equations 7-8 + PhysicsCore numerical validation contract,,Mass closure cannot be claimed before exact numeric Eq.(6) and unit conversion are pinned.
R5.7.41.3.4.10.19,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_EQ5_EQ6_MASS_GEOMETRY_CLOSURE_QUALIFICATION_ONLY,WYSER_L_TO_YANG_DMAX_COORDINATE,COORDINATE_BRIDGE_GATE,UNRESOLVED,false,NO_L_TO_DMAX_RUNTIME_COORDINATE,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2|https://www.giss.nasa.gov/pubs/abs/ya07100h.html,Wyser column geometry versus Yang/Bi maximum-dimension coordinate,,"Even if D=2.5*L^0.6 lineage is correct, exact convention matching to Yang/Bi maximum_dimension_um must be independently demonstrated."
R5.7.41.3.4.10.19,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_EQ5_EQ6_MASS_GEOMETRY_CLOSURE_QUALIFICATION_ONLY,STEP3F_PRODUCTION_PROMOTION,PROMOTION_GATE,BLOCKED,false,EVIDENCE_ONLY_NO_OPTICAL_PROMOTION,False,,PhysicsCore frozen promotion policy,,"No PSD runtime reconstruction, Dmax synthesis, Yang/Bi habit/roughness selection, bulk tau synthesis, or Formation promotion in Step 3F."
