step3h_version,science_baseline,step3h_mode,evidence_id,evidence_type,pin_status,value,semantic_role,authoritative_for_runtime_mapping,source_reference,source_path,source_sha,notes
R5.7.41.3.4.10.21,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_YANG_MAXIMUM_DIMENSION_COORDINATE_QUALIFICATION_SHAPE_COMPATIBILITY_FAIL_CLOSED,WYSER_L_IS_MAXIMUM_DIMENSION,PRIMARY_GEOMETRY_SEMANTIC,PASS_PRIMARY_GEOMETRY,"Wyser solid-column axial length L is >= Eq.(5) transverse width D, therefore L is the maximum dimension",WYSER_COLUMN_MAXIMUM_DIMENSION_COORDINATE,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,Wyser (1998) Eq.(5) solid-column L/D geometry,,Coordinate qualification only; no optical equivalence is implied.
R5.7.41.3.4.10.21,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_YANG_MAXIMUM_DIMENSION_COORDINATE_QUALIFICATION_SHAPE_COMPATIBILITY_FAIL_CLOSED,YANG_BI_SIZE_COORDINATE_IS_MAXIMUM_DIMENSION,AUTHORITATIVE_DATABASE_SEMANTIC,PASS_AUTHORITATIVE_DATABASE_SEMANTIC,Yang ice-particle databases specify particle size in terms of particle maximum dimension,YANG_BI_MAXIMUM_DIMENSION_AXIS,False,https://doi.org/10.1364/AO.44.005512|https://doi.org/10.1175/JAS-D-12-039.1,Yang et al. single-scattering database size-coordinate definition,,"This establishes the LUT size-axis semantic, not a GFS-to-Dmax operational mapping."
R5.7.41.3.4.10.21,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_YANG_MAXIMUM_DIMENSION_COORDINATE_QUALIFICATION_SHAPE_COMPATIBILITY_FAIL_CLOSED,WYSER_L_TO_YANG_DMAX_COORDINATE,COORDINATE_BRIDGE_QUALIFICATION,PASS_COORDINATE_ONLY,Wyser L_um == Yang/Bi maximum_dimension_um for the size-coordinate identity,SIZE_COORDINATE_IDENTITY_ONLY,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2|https://doi.org/10.1364/AO.44.005512|https://doi.org/10.5194/acp-15-3933-2015,Cross-source maximum-dimension semantic qualification,,"Does not validate Yang solid-column shape, area, volume, mass, habit, roughness or bulk optics."
R5.7.41.3.4.10.21,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_YANG_MAXIMUM_DIMENSION_COORDINATE_QUALIFICATION_SHAPE_COMPATIBILITY_FAIL_CLOSED,YANG_BI_V2_SOLID_COLUMN_EXACT_GEOMETRY_LAW,SOURCE_ROW_GEOMETRY_REPRODUCTION,PASS_SOURCE_ROW_GEOMETRY_REPRODUCTION,a=0.35L for L<100um;a=3.48*sqrt(L) for L>=100um;source_rows=189;max_De_relerr=5.837278235773654e-07,YANG_BI_V2_EXACT_SHAPE_LAW_SOURCE_VALIDATED,False,https://doi.org/10.1175/JAS-D-12-039.1|Yang2013_Bi2017_V2,firecloud/data/ice_optics/portable_ice_optics_lut_v1.csv + authoritative source manifest,,"The 3.48 coefficient reproduces all 189 source-derived single-column De rows within 1e-6 relative error; the 0.348 transcription is rejected by the source geometry by >50% relative error. This pins shape geometry only, not Wyser compatibility or runtime mapping."
R5.7.41.3.4.10.21,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_YANG_MAXIMUM_DIMENSION_COORDINATE_QUALIFICATION_SHAPE_COMPATIBILITY_FAIL_CLOSED,WYSER_TO_YANG_SOLID_COLUMN_SHAPE_COMPATIBILITY,SHAPE_COMPATIBILITY_GATE,BLOCKED_GEOMETRY_LAW_MISMATCH,false;max_relative_width_difference=0.29999999999999999,COORDINATE_IDENTITY_NOT_SHAPE_EQUIVALENCE,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2|https://doi.org/10.1364/AO.44.005512,Wyser Eq.(5) width law versus source-validated Yang/Bi V2 single-column width law,,"The two source-pinned width/aspect-ratio laws differ, so coordinate identity does not establish shape equivalence."
R5.7.41.3.4.10.21,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_YANG_MAXIMUM_DIMENSION_COORDINATE_QUALIFICATION_SHAPE_COMPATIBILITY_FAIL_CLOSED,WYSER_TO_YANG_PROJECTED_AREA_COMPATIBILITY,OPTICAL_GEOMETRY_GATE,BLOCKED_SHAPE_COMPATIBILITY_PENDING,false,PROJECTED_AREA_NOT_VALIDATED,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2|https://doi.org/10.1364/AO.44.005512,Downstream geometry compatibility gate,,No projected-area equivalence is inferred from a common maximum-dimension coordinate.
R5.7.41.3.4.10.21,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_YANG_MAXIMUM_DIMENSION_COORDINATE_QUALIFICATION_SHAPE_COMPATIBILITY_FAIL_CLOSED,WYSER_TO_YANG_VOLUME_MASS_COMPATIBILITY,MASS_GEOMETRY_GATE,BLOCKED_SHAPE_AND_EQ6_CORROBORATION_PENDING,false,VOLUME_MASS_NOT_VALIDATED,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2|https://doi.org/10.1364/AO.44.005512,Downstream mass/volume compatibility gate,,Eq.(6) external numeric corroboration and geometry compatibility are still required.
R5.7.41.3.4.10.21,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_YANG_MAXIMUM_DIMENSION_COORDINATE_QUALIFICATION_SHAPE_COMPATIBILITY_FAIL_CLOSED,INDEPENDENT_EQ6_EXTERNAL_NUMERIC_CORROBORATION,SCIENTIFIC_PROMOTION_GATE,BLOCKED_NO_INDEPENDENT_EXACT_NUMERIC_SOURCE,false,SCIENTIFIC_MASS_CLOSURE_STILL_BLOCKED,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,Step 3G/3H dual-source promotion policy,,Coordinate qualification does not relax the independent Eq.(6) corroboration requirement.
R5.7.41.3.4.10.21,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_YANG_MAXIMUM_DIMENSION_COORDINATE_QUALIFICATION_SHAPE_COMPATIBILITY_FAIL_CLOSED,YANG_BI_HABIT_ROUGHNESS_BRIDGE,MICROPHYSICS_TO_OPTICS_GATE,BLOCKED,habit=false;roughness=false,NO_HABIT_OR_ROUGHNESS_DEFAULT,False,https://doi.org/10.1175/JAS-D-12-039.1,Yang/Bi habit and roughness dimensions,,No fixed habit or roughness state is silently selected.
R5.7.41.3.4.10.21,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_YANG_MAXIMUM_DIMENSION_COORDINATE_QUALIFICATION_SHAPE_COMPATIBILITY_FAIL_CLOSED,STEP3H_PRODUCTION_PROMOTION,PROMOTION_GATE,BLOCKED,false,COORDINATE_ONLY_NO_BULK_OPTICS_PROMOTION,False,,PhysicsCore frozen promotion policy,,"No Dmax runtime synthesis, bulk tau, or Formation promotion is enabled by Step 3H."
