step3d_version,science_baseline,step3d_mode,evidence_id,evidence_type,pin_status,value,semantic_role,authoritative_for_runtime_mapping,source_reference,source_path,source_sha,notes
R5.7.41.3.4.10.17,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_YANG_BI_HABIT_BULK_INTEGRATION_QUALIFICATION_ONLY,WYSER_MIXED_PSD_STRUCTURE,PEER_REVIEWED_PSD_STRUCTURE,PINNED_MIXED_GAMMA_POWERLAW,Gamma small-particle branch through 20 um; power-law branch above 20 um; continuity enforced at 20 um,WYSER_MIXED_POPULATION_STRUCTURE,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,"Wyser (1998), mixed distribution section",,"The article explicitly selects the mixed spectrum for the remainder of the work. This pins the branch structure, not the full absolute normalization needed for runtime reconstruction."
R5.7.41.3.4.10.17,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_YANG_BI_HABIT_BULK_INTEGRATION_QUALIFICATION_ONLY,WYSER_SMALL_PARTICLE_GAMMA_PARAMETERS,PEER_REVIEWED_PSD_PARAMETERS,PINNED_NU3_LAMBDA0P3_SWITCH20UM,nu=3; lambda=0.3 um^-1; small-particle branch L<=20 um,SMALL_CRYSTAL_GAMMA_SHAPE_PARAMETERS,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,"Wyser (1998), mixed distribution",,These constants are explicit in the article text. They constrain shape of the small-particle spectrum but do not determine the complete number-density normalization.
R5.7.41.3.4.10.17,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_YANG_BI_HABIT_BULK_INTEGRATION_QUALIFICATION_ONLY,WYSER_DEFAULT_INTEGRATION_LIMITS,PEER_REVIEWED_INTEGRATION_DOMAIN,PINNED_L10_L1000_UM,Lmin=10 um; Lmax=1000 um unless stated otherwise,WYSER_PARTICLE_LENGTH_INTEGRATION_DOMAIN,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,"Wyser (1998), section 5 Integration limits",,The article also reports sensitivity to both limits. L is retained as Wyser crystal length; it is not silently relabeled Yang/Bi maximum dimension.
R5.7.41.3.4.10.17,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_YANG_BI_HABIT_BULK_INTEGRATION_QUALIFICATION_ONLY,WYSER_POWERLAW_B_T_IWC_FORMULA,PUBLIC_SOURCE_PARAMETERIZATION,PINNED_GFSV16_SOURCE_EQUIVALENT,"B=-2 + 1e-3*log10(IWC/IWC0)*max(0,Tice-T)^1.5 with IWC0=50 g m^-3 (unit-equivalent to source rho0=50e-3 kg m^-3)",GFSV16_WYSER_POWERLAW_SLOPE_CONTROL,False,https://github.com/ufs-community/ccpp-physics/blob/ufs/dev/physics/MP/GFDL/v1_2019/gfdl_cloud_microphys_mod.F90,cloud_diagnosis :: reiflag=2 :: bw,ad0304074e17a7b83be2f0fe016345b7f11be4ef,"The public GFDL v1 source exposes the numerical B expression used before the cubic rei fit. This pins the slope-control formula on the public reproduction path, not the full production PSD normalization."
R5.7.41.3.4.10.17,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_YANG_BI_HABIT_BULK_INTEGRATION_QUALIFICATION_ONLY,WYSER_GAMMA_POWERLAW_CONTINUITY_RULE,PEER_REVIEWED_PSD_JOIN_RULE,PINNED_CONTINUITY_AT_20UM,alpha selected so n(L) is continuous at L=20 um,PSD_BRANCH_JOIN_CONSTRAINT,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,"Wyser (1998), mixed distribution",,"Continuity is pinned, but the exact absolute amplitude/normalization of n(L) still requires a complete reproducible contract."
R5.7.41.3.4.10.17,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_YANG_BI_HABIT_BULK_INTEGRATION_QUALIFICATION_ONLY,WYSER_ABSOLUTE_PSD_NORMALIZATION,PSD_RECONSTRUCTION_REQUIREMENT,UNRESOLVED,NO_COMPLETE_REPRODUCIBLE_NUMBER_DENSITY_NORMALIZATION_CONTRACT,ABSOLUTE_N_OF_L_REQUIRED_FOR_BULK_OPTICS,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,"Wyser (1998), equations 13-15 and associated amplitude definitions",,"The accessible primary text pins the mixed structure and join rule, but this audit does not yet claim a fully independently reproduced absolute n(L) normalization across the operational domain."
R5.7.41.3.4.10.17,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_YANG_BI_HABIT_BULK_INTEGRATION_QUALIFICATION_ONLY,WYSER_HEX_COLUMN_GEOMETRY_FAMILY,PEER_REVIEWED_GEOMETRY,PINNED_HEXAGONAL_COLUMNS_SIZE_DEPENDENT_ASPECT_RATIO,all crystals assumed hexagonal columns; aspect ratio depends on particle size,WYSER_PARTICLE_GEOMETRY_FAMILY,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,"Wyser (1998), abstract/microphysical geometry",,Geometry family is pinned; exact size-dependent width/length law remains a separate requirement.
R5.7.41.3.4.10.17,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_YANG_BI_HABIT_BULK_INTEGRATION_QUALIFICATION_ONLY,WYSER_HEX_COLUMN_ASPECT_RATIO_LAW,GEOMETRY_RECONSTRUCTION_REQUIREMENT,UNRESOLVED_PRIMARY_CONTRACT,EXACT_WIDTH_LENGTH_LAW_NOT_YET_PRIMARY_PINNED_IN_THIS_RELEASE,L_TO_PARTICLE_GEOMETRY_AND_DMAX_COORDINATE,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,Wyser (1998) + Wyser/Yang geometry lineage,,"Secondary literature exposes candidate column size relations, but this release does not promote them without a primary-source geometry contract tied to the exact population used by the GFS-v16 rei branch."
R5.7.41.3.4.10.17,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_YANG_BI_HABIT_BULK_INTEGRATION_QUALIFICATION_ONLY,YANG_BI_DMAX_DOMAIN,AUTHORITATIVE_OPTICAL_DOMAIN,PINNED_DMAX_2_TO_10000_UM,maximum dimension D spans 2 to 10000 um,YANG_BI_SINGLE_PARTICLE_DMAX_DOMAIN,False,https://doi.org/10.1175/JAS-D-12-039.1,Yang et al. (2013) single-scattering library,,"The optical library domain covers the nominal Wyser length range numerically, but numerical range overlap is not proof that Wyser L equals Yang/Bi Dmax."
R5.7.41.3.4.10.17,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PSD_YANG_BI_HABIT_BULK_INTEGRATION_QUALIFICATION_ONLY,YANG_BI_SOLID_COLUMN_HABIT_CANDIDATE,HABIT_BRIDGE_CANDIDATE,IDENTIFIED_NOT_VALIDATED,solid_column,HEXAGONAL_COLUMN_FAMILY_CANDIDATE,False,https://doi.org/10.1175/JAS-D-12-039.1,Yang et al. (2013) habit library,,"Yang/Bi includes a solid hexagonal column habit, which is the nearest family-level candidate to Wyser's hexagonal columns. Exact aspect-ratio/volume/projected-area compatibility is not yet validated."
