step3g_version,science_baseline,step3g_mode,evidence_id,evidence_type,pin_status,value,semantic_role,authoritative_for_runtime_mapping,source_reference,source_path,source_sha,notes
R5.7.41.3.4.10.20,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PRIMARY_NUMERIC_RECOVERY_AND_SYNTHETIC_CLOSURE_HARNESS_ONLY,WYSER_PRIMARY_EQ5_ROLE,PRIMARY_GEOMETRY_SEMANTIC,PINNED_PRIMARY_SEMANTIC_ONLY,Eq.(5) is the continuous length-width relation for solid hexagonal columns with size-dependent aspect ratio,PRIMARY_EQ5_ROLE,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,"Wyser (1998), Eq.(5) surrounding primary text",,"Primary prose pins the equation role, not a machine-verifiable numeric transcription."
R5.7.41.3.4.10.20,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PRIMARY_NUMERIC_RECOVERY_AND_SYNTHETIC_CLOSURE_HARNESS_ONLY,WYSER_EQ5_MULTI_SOURCE_NUMERIC_LINEAGE,NONPRIMARY_NUMERIC_LINEAGE,CORROBORATED_NONPRIMARY_NUMERIC_LINEAGE,D=2.5*L^0.6,EQ5_NUMERIC_RECOVERY_CANDIDATE_NOT_PRIMARY,False,https://doi.org/10.1029/2009JD013313|https://acp.copernicus.org/preprints/9/24361/2009/acpd-9-24361-2009-print.pdf,Later literature explicitly attributes D=2.5 L^0.6 to Wyser/Wyser-Yang,,Multiple-source corroboration is retained as lineage evidence only and cannot satisfy the primary-equation promotion gate.
R5.7.41.3.4.10.20,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PRIMARY_NUMERIC_RECOVERY_AND_SYNTHETIC_CLOSURE_HARNESS_ONLY,WYSER_EQ5_PRIMARY_MACHINE_NUMERIC_RECOVERY,PRIMARY_NUMERIC_RECOVERY_GATE,UNRESOLVED_PRIMARY_EQUATION_IMAGE,false,PRIMARY_EQ5_NUMERIC_RECOVERY_REQUIRED,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,"Wyser (1998), Eq.(5) equation image",,No machine-verifiable primary-quality numeric representation has been obtained; do not promote the secondary lineage.
R5.7.41.3.4.10.20,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PRIMARY_NUMERIC_RECOVERY_AND_SYNTHETIC_CLOSURE_HARNESS_ONLY,WYSER_PRIMARY_EQ6_ROLE_UNITS,PRIMARY_MASS_SIZE_SEMANTIC,PINNED_PRIMARY_SEMANTIC_ONLY,m(L)=rho(L)*V(L); m in grams; L in microns; cold solid columns with L/D>2,PRIMARY_EQ6_ROLE_AND_UNITS,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,"Wyser (1998), Eq.(6) surrounding primary text",,Primary prose pins variables/units/regime but not a safe numeric mass-size transcription.
R5.7.41.3.4.10.20,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PRIMARY_NUMERIC_RECOVERY_AND_SYNTHETIC_CLOSURE_HARNESS_ONLY,WYSER_EQ6_CORRUPT_FLAT_EXTRACTION,MACHINE_EXTRACTION_REJECTION,REJECTED_AS_NUMERIC_SOURCE,machine-flat extraction is incomplete/corrupt and cannot be parsed into coefficients/exponents,DO_NOT_USE_CORRUPT_EQ6_TEXT,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,"Wyser (1998), Eq.(6) image / flattened equation text",,Corrupt flattened/OCR equation text is explicitly non-authoritative for numeric recovery.
R5.7.41.3.4.10.20,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PRIMARY_NUMERIC_RECOVERY_AND_SYNTHETIC_CLOSURE_HARNESS_ONLY,WYSER_EQ6_PRIMARY_MACHINE_NUMERIC_RECOVERY,PRIMARY_NUMERIC_RECOVERY_GATE,UNRESOLVED_CORRUPT_MACHINE_EXTRACTION,false,PRIMARY_EQ6_NUMERIC_RECOVERY_REQUIRED,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,"Wyser (1998), Eq.(6) equation image",,Exact primary-quality coefficients/exponents and unit conversion remain unresolved.
R5.7.41.3.4.10.20,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PRIMARY_NUMERIC_RECOVERY_AND_SYNTHETIC_CLOSURE_HARNESS_ONLY,DUAL_SOURCE_NUMERIC_PROMOTION_POLICY,PROMOTION_POLICY,PINNED_FAIL_CLOSED_POLICY,primary numeric Eq.(5)+Eq.(6) AND independent transcription/reproduction AND unit-consistency must all pass before scientific closure execution,NUMERIC_RECOVERY_PROMOTION_GATE,False,,PhysicsCore Step 3G qualification policy,,"Secondary lineage, OCR, or a single transcription source is insufficient."
R5.7.41.3.4.10.20,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PRIMARY_NUMERIC_RECOVERY_AND_SYNTHETIC_CLOSURE_HARNESS_ONLY,DIAGNOSTIC_MASS_CLOSURE_HARNESS,SOFTWARE_READINESS,READY_SYNTHETIC_ONLY,A=IWC/integral[m(L)*phi(L)dL]; reconstruct integral[m*A*phi dL],GENERIC_SYNTHETIC_CLOSURE_HARNESS,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,Wyser Eq.(7)/(8) algebra + PhysicsCore diagnostic utility,,Harness readiness validates code algebra only. Synthetic closure is not scientific Wyser validation.
R5.7.41.3.4.10.20,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PRIMARY_NUMERIC_RECOVERY_AND_SYNTHETIC_CLOSURE_HARNESS_ONLY,SCIENTIFIC_MASS_CLOSURE_EXECUTED,SCIENTIFIC_VALIDATION_GATE,BLOCKED_PRIMARY_NUMERIC_INPUTS_UNRESOLVED,false,NO_WYSER_SCIENTIFIC_CLOSURE_YET,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,Step 3G dual-source promotion policy,,Scientific mass-closure grid is not executed until exact Eq.(5)/(6) numeric inputs and units pass promotion.
R5.7.41.3.4.10.20,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_PRIMARY_NUMERIC_RECOVERY_AND_SYNTHETIC_CLOSURE_HARNESS_ONLY,ABSOLUTE_PSD_RECONSTRUCTION_EXECUTABLE,EXECUTION_GATE,BLOCKED,false,NO_ABSOLUTE_WYSER_PSD_EXECUTION,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,Step 3G primary numeric recovery gate,,Synthetic harness readiness does not unlock absolute n(L).
