step3c_version,science_baseline,step3c_mode,evidence_id,evidence_type,pin_status,value,semantic_role,authoritative_for_runtime_mapping,source_reference,source_path,source_sha,notes
R5.7.41.3.4.10.16,R5.7.41.2_SHADOW_COT_AB_FROZEN,GFSV16_REI_DMAX_BRIDGE_FEASIBILITY_AUDIT_ONLY,GFSV16_REIFLAG2_SOURCE_FORMULA,PUBLIC_SOURCE_FORMULA,PINNED_WYSER_BULK_REI_FORMULA,"reiflag=2 branch computes rei from qmi, air density and temperature; source labels branch Wyser (1998)",GFDL_V1_BULK_CLOUD_ICE_EFFECTIVE_RADIUS_PARAMETERIZATION,False,https://github.com/ufs-community/ccpp-physics/blob/ufs/dev/physics/MP/GFDL/v1_2019/gfdl_cloud_microphys_mod.F90,physics/MP/GFDL/v1_2019/gfdl_cloud_microphys_mod.F90 :: cloud_diagnosis :: reiflag=2,ad0304074e17a7b83be2f0fe016345b7f11be4ef,The source branch computes bulk cloud-ice effective radius rei and clamps it to reimin/reimax. It does not output Yang/Bi Dmax.
R5.7.41.3.4.10.16,R5.7.41.2_SHADOW_COT_AB_FROZEN,GFSV16_REI_DMAX_BRIDGE_FEASIBILITY_AUDIT_ONLY,REIFLAG2_DOCUMENTATION_SOURCE_LABEL_CONSISTENCY,PROVENANCE_CONSISTENCY,MISMATCH,"parameter-module comment labels reiflag=2 Donner et al. (1997), while v1_2019 source branch labels/formula path Wyser (1998)",DOCUMENTATION_SOURCE_SEMANTIC_MISMATCH,False,https://github.com/ufs-community/ccpp-physics/blob/ufs/dev/physics/MP/GFDL/module_gfdlmp_param.F90,physics/MP/GFDL/module_gfdlmp_param.F90 + physics/MP/GFDL/v1_2019/gfdl_cloud_microphys_mod.F90,c20e229466a69f5d5e1705bded8a7b20fbd3977e|ad0304074e17a7b83be2f0fe016345b7f11be4ef,"Public-source formula provenance is retained, but this label mismatch is a blocker against claiming an exact production semantic contract without additional authoritative provenance."
R5.7.41.3.4.10.16,R5.7.41.2_SHADOW_COT_AB_FROZEN,GFSV16_REI_DMAX_BRIDGE_FEASIBILITY_AUDIT_ONLY,WYSER_REI_BULK_SEMANTIC,PEER_REVIEWED_SEMANTIC,PINNED_BULK_EFFECTIVE_RADIUS_SEMANTIC,effective radius derives from an ice-crystal population / PSD with hexagonal-column assumptions and size-dependent aspect ratio,BULK_EFFECTIVE_RADIUS_NOT_SINGLE_PARTICLE_DIMENSION,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,"Wyser (1998), The Effective Radius in Ice Clouds",,For nonspherical ice particles effective radius is not uniquely defined; it characterizes a population and its projected-area/volume moments rather than one particle's maximum dimension.
R5.7.41.3.4.10.16,R5.7.41.2_SHADOW_COT_AB_FROZEN,GFSV16_REI_DMAX_BRIDGE_FEASIBILITY_AUDIT_ONLY,WYSER_REI_PARAMETERIZATION_INPUTS,PEER_REVIEWED_PARAMETERIZATION,PINNED_IWC_T_DEPENDENCE,"rei=f(IWC,T) parameterization",BULK_OPTICAL_SIZE_DIAGNOSTIC,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,Wyser (1998),,The parameterized bulk effective radius depends on ice content and temperature; this does not establish a unique particle Dmax.
R5.7.41.3.4.10.16,R5.7.41.2_SHADOW_COT_AB_FROZEN,GFSV16_REI_DMAX_BRIDGE_FEASIBILITY_AUDIT_ONLY,YANG_BI_PRIMARY_SIZE_AXIS,AUTHORITATIVE_OPTICAL_SOURCE_SEMANTIC,PINNED_MAXIMUM_DIMENSION_AXIS,maximum_dimension_um,SINGLE_PARTICLE_MAXIMUM_DIMENSION_WITH_HABIT_AND_ROUGHNESS,False,https://www.giss.nasa.gov/pubs/abs/ya07100h.html,Yang et al. ice-particle single-scattering database,,Yang/Bi properties are indexed by per-particle maximum dimension plus habit and roughness. Dmax spans discrete particle geometries; it is not a bulk effective radius.
R5.7.41.3.4.10.16,R5.7.41.2_SHADOW_COT_AB_FROZEN,GFSV16_REI_DMAX_BRIDGE_FEASIBILITY_AUDIT_ONLY,DIRECT_REI_TO_DMAX_ONE_TO_ONE_BRIDGE,BRIDGE_ELIGIBILITY,REJECTED_SEMANTIC_MISMATCH,NO_UNIQUE_ONE_TO_ONE_MAPPING,BULK_REI_VS_SINGLE_PARTICLE_DMAX_MISMATCH,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,Step 3C semantic comparison,,"Neither rei itself, 2*rei, nor a generalized effective diameter is accepted as Yang/Bi maximum_dimension_um without a same-population geometry/PSD bridge."
R5.7.41.3.4.10.16,R5.7.41.2_SHADOW_COT_AB_FROZEN,GFSV16_REI_DMAX_BRIDGE_FEASIBILITY_AUDIT_ONLY,BULK_YANG_BI_PSD_INTEGRATION_PATH,ALTERNATIVE_BRIDGE_CANDIDATE,IDENTIFIED_NOT_QUALIFIED,reconstruct compatible Wyser PSD/hex-column population and integrate Yang/Bi single-particle optics over Dmax,BULK_OPTICS_INTEGRATION_CANDIDATE_NOT_DMAX_SUBSTITUTION,False,https://www.sciencedirect.com/science/article/abs/pii/S0169809598000830,Wyser & Yang (1998) bulk single-scattering framework,,"This is more defensible than relabeling rei as Dmax, but exact PSD, integration limits, aspect-ratio law, habit and roughness compatibility must be pinned first."
R5.7.41.3.4.10.16,R5.7.41.2_SHADOW_COT_AB_FROZEN,GFSV16_REI_DMAX_BRIDGE_FEASIBILITY_AUDIT_ONLY,WYSER_EXACT_PSD_ASPECT_RATIO_CONTRACT,PSD_RECONSTRUCTION_REQUIREMENT,UNRESOLVED,NOT_FULLY_PINNED,EXACT_PSD_COEFFICIENTS_LIMITS_AND_SIZE_DEPENDENT_COLUMN_GEOMETRY,False,https://doi.org/10.1175/1520-0442(1998)011%3C1793:TERIIC%3E2.0.CO;2,Wyser (1998) population model,,"Exact PSD coefficients, branch/bins, integration bounds and size-dependent aspect-ratio law must be reproduced and independently checked before bulk integration is eligible."
R5.7.41.3.4.10.16,R5.7.41.2_SHADOW_COT_AB_FROZEN,GFSV16_REI_DMAX_BRIDGE_FEASIBILITY_AUDIT_ONLY,YANG_BI_HABIT_BRIDGE,HABIT_MAPPING_REQUIREMENT,UNRESOLVED,HEXAGONAL_COLUMN_FAMILY_CANDIDATE_NOT_VALIDATED,WYSER_GEOMETRY_TO_YANG_BI_HABIT_BRIDGE,False,https://www.giss.nasa.gov/pubs/abs/ya07100h.html,Yang/Bi habit library,,"Wyser assumes hexagonal columns, but a Yang/Bi solid/hollow-column habit must not be silently selected; geometric/aspect-ratio compatibility must be validated."
R5.7.41.3.4.10.16,R5.7.41.2_SHADOW_COT_AB_FROZEN,GFSV16_REI_DMAX_BRIDGE_FEASIBILITY_AUDIT_ONLY,YANG_BI_ROUGHNESS_BRIDGE,ROUGHNESS_MAPPING_REQUIREMENT,UNRESOLVED,NO_FORECAST_ROUGHNESS_STATE,SURFACE_ROUGHNESS_UNCERTAINTY,False,https://www.giss.nasa.gov/pubs/abs/ya07100h.html,Yang/Bi roughness states,,Yang/Bi supports smooth/moderate/severe roughness; GFS v16/Wyser rei does not provide an equivalent runtime roughness state.
