step3n_version,science_baseline,step3n_mode,evidence_id,evidence_type,pin_status,value,semantic_role,authoritative_for_runtime_mapping,source_reference,source_path,source_sha,notes
R5.7.41.3.4.10.27,R5.7.41.2_SHADOW_COT_AB_FROZEN,FU96_RRTMG_BULK_BAND_SSA_ASYMMETRY_QUALIFICATION_DIAGNOSTIC_FAIL_CLOSED,FU96_PRIMARY_SOLAR_SSA_G_PROVENANCE,PRIMARY_LITERATURE_PROVENANCE,PINNED,"Fu1996 solar cirrus parameterizes extinction, single-scattering albedo and asymmetry factor",INDEPENDENT_BULK_OPTICAL_FRAMEWORK_PROVENANCE,False,https://doi.org/10.1175/1520-0442(1996)009<2058:AAPOTS>2.0.CO;2,"Fu (1996), J. Climate 9, 2058-2082",,Primary framework provenance only; not a Yang/Bi monochromatic replacement.
R5.7.41.3.4.10.27,R5.7.41.2_SHADOW_COT_AB_FROZEN,FU96_RRTMG_BULK_BAND_SSA_ASYMMETRY_QUALIFICATION_DIAGNOSTIC_FAIL_CLOSED,RRTMG_FU96_SSAICE3_ASYICE3_PROVENANCE,INDEPENDENT_IMPLEMENTATION_PROVENANCE,PINNED,ICEFLAG=3 uses Fu1996; RRTMG stores ssaice3/asyice3 high-resolution-table averages,INDEPENDENT_BULK_BAND_REFERENCE_IMPLEMENTATION,False,https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,GeosRad/rrtmg_sw_init.F90::swcldpr,0ccf597d6aa3d6ed40ec592560e3ed94b653ef32,External implementation chain is independent of the bundled Yang/Bi LUT.
R5.7.41.3.4.10.27,R5.7.41.2_SHADOW_COT_AB_FROZEN,FU96_RRTMG_BULK_BAND_SSA_ASYMMETRY_QUALIFICATION_DIAGNOSTIC_FAIL_CLOSED,RRTMG_VISIBLE_BAND_24_DOMAIN,SPECTRAL_DOMAIN_PIN,PINNED,12850-16000 cm-1 (~625-778.2 nm),BROAD_BAND_VISIBLE_REFERENCE_DOMAIN,False,https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,rrtmg_sw_init.F90::wavenum1/wavenum2,0ccf597d6aa3d6ed40ec592560e3ed94b653ef32,Contains 650/700/750 nm; values remain band averaged.
R5.7.41.3.4.10.27,R5.7.41.2_SHADOW_COT_AB_FROZEN,FU96_RRTMG_BULK_BAND_SSA_ASYMMETRY_QUALIFICATION_DIAGNOSTIC_FAIL_CLOSED,RRTMG_VISIBLE_BAND_25_DOMAIN,SPECTRAL_DOMAIN_PIN,PINNED,16000-22650 cm-1 (~441.5-625 nm),BROAD_BAND_VISIBLE_REFERENCE_DOMAIN,False,https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,rrtmg_sw_init.F90::wavenum1/wavenum2,0ccf597d6aa3d6ed40ec592560e3ed94b653ef32,Contains 550/575/600 nm; values remain band averaged.
R5.7.41.3.4.10.27,R5.7.41.2_SHADOW_COT_AB_FROZEN,FU96_RRTMG_BULK_BAND_SSA_ASYMMETRY_QUALIFICATION_DIAGNOSTIC_FAIL_CLOSED,SIX_BAND_TO_RRTMG_BROAD_BAND_MAPPING,SPECTRAL_SEMANTIC_MAPPING,PASS_MAPPING_EXPLICIT_NOT_MONOCHROMATIC,550nm->RRTMG_band25;575nm->RRTMG_band25;600nm->RRTMG_band25;650nm->RRTMG_band24;700nm->RRTMG_band24;750nm->RRTMG_band24,CONTAINMENT_MAPPING_ONLY,False,https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,RRTMG SW bands 24/25,0ccf597d6aa3d6ed40ec592560e3ed94b653ef32,No interpolation or duplication may convert a broad-band reference into six monochromatic truths.
R5.7.41.3.4.10.27,R5.7.41.2_SHADOW_COT_AB_FROZEN,FU96_RRTMG_BULK_BAND_SSA_ASYMMETRY_QUALIFICATION_DIAGNOSTIC_FAIL_CLOSED,INDEPENDENT_BULK_BAND_SSA_REFERENCE,REFERENCE_AVAILABILITY_GATE,PASS_REFERENCE_AVAILABLE,ssaice3,INDEPENDENT_BULK_BAND_SSA_REFERENCE_AVAILABLE,False,https://doi.org/10.1175/1520-0442(1996)009<2058:AAPOTS>2.0.CO;2|https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,RRTMG Fu96 ice-cloud coefficient table,0ccf597d6aa3d6ed40ec592560e3ed94b653ef32,Availability is not a numerical validation pass.
R5.7.41.3.4.10.27,R5.7.41.2_SHADOW_COT_AB_FROZEN,FU96_RRTMG_BULK_BAND_SSA_ASYMMETRY_QUALIFICATION_DIAGNOSTIC_FAIL_CLOSED,INDEPENDENT_BULK_BAND_ASYMMETRY_REFERENCE,REFERENCE_AVAILABILITY_GATE,PASS_REFERENCE_AVAILABLE,asyice3,INDEPENDENT_BULK_BAND_ASYMMETRY_REFERENCE_AVAILABLE,False,https://doi.org/10.1175/1520-0442(1996)009<2058:AAPOTS>2.0.CO;2|https://doi.org/10.1175/2007JAS2289.1|https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,RRTMG Fu96 ice-cloud coefficient table,0ccf597d6aa3d6ed40ec592560e3ed94b653ef32,g remains habit/aspect-ratio sensitive; availability is not a six-band Yang/Bi validation.
R5.7.41.3.4.10.27,R5.7.41.2_SHADOW_COT_AB_FROZEN,FU96_RRTMG_BULK_BAND_SSA_ASYMMETRY_QUALIFICATION_DIAGNOSTIC_FAIL_CLOSED,EXACT_SIX_BAND_MONOCHROMATIC_REFERENCE,FULL_OPTICS_BLOCKER,BLOCKED_BROAD_BAND_NOT_MONOCHROMATIC,false,SIX_BAND_EXACT_REFERENCE_PENDING,False,https://doi.org/10.1175/1520-0442(1996)009<2058:AAPOTS>2.0.CO;2|https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,Step 3N scope guard,,RRTMG broad bands cannot be silently relabelled 550/575/600/650/700/750 nm.
R5.7.41.3.4.10.27,R5.7.41.2_SHADOW_COT_AB_FROZEN,FU96_RRTMG_BULK_BAND_SSA_ASYMMETRY_QUALIFICATION_DIAGNOSTIC_FAIL_CLOSED,INDEPENDENT_SSA_NUMERIC_VALIDATION,FULL_OPTICS_BLOCKER,BLOCKED_NOT_EXECUTED,false,INDEPENDENT_SSA_VALIDATION_PENDING,False,https://doi.org/10.1175/1520-0442(1996)009<2058:AAPOTS>2.0.CO;2|https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,Step 3N qualification,,Source capability is pinned; reproducible numerical comparison is not promoted by this step.
R5.7.41.3.4.10.27,R5.7.41.2_SHADOW_COT_AB_FROZEN,FU96_RRTMG_BULK_BAND_SSA_ASYMMETRY_QUALIFICATION_DIAGNOSTIC_FAIL_CLOSED,INDEPENDENT_ASYMMETRY_NUMERIC_VALIDATION,FULL_OPTICS_BLOCKER,BLOCKED_NOT_EXECUTED,false,INDEPENDENT_ASYMMETRY_VALIDATION_PENDING,False,https://doi.org/10.1175/1520-0442(1996)009<2058:AAPOTS>2.0.CO;2|https://doi.org/10.1175/2007JAS2289.1|https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,Step 3N qualification,,Source capability is pinned; reproducible numerical comparison is not promoted by this step.
R5.7.41.3.4.10.27,R5.7.41.2_SHADOW_COT_AB_FROZEN,FU96_RRTMG_BULK_BAND_SSA_ASYMMETRY_QUALIFICATION_DIAGNOSTIC_FAIL_CLOSED,PRODUCTION_PROMOTION_GUARD,PRODUCTION_GUARD,PASS_FAIL_CLOSED,tau_ice=false;production_ice_optics=false;physics_promotion=false,NO_PRODUCTION_PROMOTION,False,R5.7.41.3.4.10.27,Step 3N contract,,Formation/Viewing/Twilight Glow and frozen production science remain unchanged.
