step3i_version,science_baseline,step3i_mode,evidence_id,evidence_type,pin_status,value,semantic_role,authoritative_for_runtime_mapping,source_reference,source_path,source_sha,notes
R5.7.41.3.4.10.22,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_POPULATION_YANG_OPTICAL_KERNEL_BRIDGE_DIAGNOSTIC_ONLY_FAIL_CLOSED,STEP3H_DMAX_COORDINATE_INHERITANCE,PRIOR_QUALIFICATION_INHERITANCE,PASS_INHERITED_STEP3H_COORDINATE,Wyser L_um == Yang/Bi maximum_dimension_um,SHARED_SIZE_COORDINATE_ONLY,False,R5.7.41.3.4.10.21 Step 3H,ice_microphysics_wyser_yang_coordinate_qualification,,Coordinate identity is inherited without promoting shape or runtime mapping.
R5.7.41.3.4.10.22,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_POPULATION_YANG_OPTICAL_KERNEL_BRIDGE_DIAGNOSTIC_ONLY_FAIL_CLOSED,YANG_SINGLE_COLUMN_CEXT_KERNEL_RECONSTRUCTION,DIAGNOSTIC_OPTICAL_KERNEL_RECONSTRUCTION,PASS_DIAGNOSTIC_KERNEL_RECONSTRUCTION,rows=654;dmax_count=109;qext_range=1.93436908448489-2.2463858368089986;max_De_relerr=5.8372782357736544e-07,YANG_SINGLE_PARTICLE_CEXT_REFERENCE_KERNEL_ONLY,False,Yang2013_Bi2017_V2 portable LUT,firecloud/data/ice_optics/portable_ice_optics_lut_v1.csv,,Rough000 is a diagnostic reference kernel only; it is not a runtime roughness default.
R5.7.41.3.4.10.22,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_POPULATION_YANG_OPTICAL_KERNEL_BRIDGE_DIAGNOSTIC_ONLY_FAIL_CLOSED,WYSER_YANG_DUAL_MASS_SEMANTICS,SEMANTIC_SEPARATION_GATE,PASS_SEMANTIC_SEPARATION,population=WYSER_EQ6_EMPIRICAL_PARTICLE_MASS;optical_kernel=YANG_GEOMETRIC_RHO_ICE_TIMES_VOLUME,NO_MASS_SEMANTIC_SUBSTITUTION,False,Wyser (1998) Eq.(6)|Yang/Bi V2 geometry,Step 3I explicit dual-mass contract,,Wyser Eq.(6) normalizes PSD/IWC; Yang rho*V only inverts k_ext to C_ext.
R5.7.41.3.4.10.22,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_POPULATION_YANG_OPTICAL_KERNEL_BRIDGE_DIAGNOSTIC_ONLY_FAIL_CLOSED,WYSER_YANG_HYBRID_POPULATION_BRIDGE_NUMERIC,DIAGNOSTIC_NUMERIC_BRIDGE_GATE,PASS_DIAGNOSTIC_NUMERIC_EXECUTABLE,true,NUMERIC_EXECUTABILITY_NOT_SCIENTIFIC_PROMOTION,False,Step 3G Eq.(6)|Step 3H coordinate|Yang/Bi V2 kernel,Step 3I diagnostic bridge,,"All numeric ingredients exist for a later diagnostic PSD×Cext integration, but Step 3I does not run/promote bulk optics."
R5.7.41.3.4.10.22,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_POPULATION_YANG_OPTICAL_KERNEL_BRIDGE_DIAGNOSTIC_ONLY_FAIL_CLOSED,WYSER_TO_YANG_SHAPE_EQUIVALENCE,SHAPE_EQUIVALENCE_GATE,BLOCKED_NON_EQUIVALENT_GEOMETRY,false,NO_DIRECT_SHAPE_EQUIVALENCE,False,Wyser Eq.(5)|Yang/Bi V2 single_column,Step 3I geometry comparison,,Distinct source-pinned width laws remain non-equivalent.
R5.7.41.3.4.10.22,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_POPULATION_YANG_OPTICAL_KERNEL_BRIDGE_DIAGNOSTIC_ONLY_FAIL_CLOSED,WYSER_TO_YANG_PROJECTED_AREA_EQUIVALENCE,PROJECTED_AREA_EQUIVALENCE_GATE,BLOCKED_NON_EQUIVALENT_GEOMETRY,false;max_relative_difference=0.36345559064291233,NO_HIDDEN_AREA_CORRECTION,False,Wyser Eq.(5)|Yang/Bi V2 single_column,Step 3I full-domain geometry comparison,,Area ratios are diagnostics only and are not used as an optical correction factor.
R5.7.41.3.4.10.22,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_POPULATION_YANG_OPTICAL_KERNEL_BRIDGE_DIAGNOSTIC_ONLY_FAIL_CLOSED,WYSER_TO_YANG_VOLUME_MASS_EQUIVALENCE,VOLUME_MASS_EQUIVALENCE_GATE,BLOCKED_NON_EQUIVALENT_MASS_SEMANTICS,false;max_yang_mass_vs_eq6_relative_difference=3.2048059833442544,NO_HIDDEN_MASS_RENORMALIZATION,False,Wyser Eq.(6)|Yang/Bi V2 geometric mass,Step 3I full-domain mass comparison,,Yang geometric mass and Wyser Eq.(6) population mass remain distinct by contract.
R5.7.41.3.4.10.22,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_POPULATION_YANG_OPTICAL_KERNEL_BRIDGE_DIAGNOSTIC_ONLY_FAIL_CLOSED,INDEPENDENT_EQ6_EXTERNAL_NUMERIC_CORROBORATION,SCIENTIFIC_PROMOTION_GATE,BLOCKED_NO_INDEPENDENT_EXACT_NUMERIC_SOURCE,false,SCIENTIFIC_MASS_CLOSURE_STILL_BLOCKED,False,Wyser (1998) primary only,Step 3G/3I dual-source promotion policy,,Numeric bridge execution does not relax the independent Eq.(6) corroboration requirement.
R5.7.41.3.4.10.22,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_POPULATION_YANG_OPTICAL_KERNEL_BRIDGE_DIAGNOSTIC_ONLY_FAIL_CLOSED,YANG_BI_HABIT_BRIDGE,MICROPHYSICS_TO_OPTICS_GATE,BLOCKED,false,NO_RUNTIME_HABIT_DEFAULT,False,Yang/Bi V2 habit dimension,Step 3I diagnostic single_column reference only,,Using single_column diagnostically does not validate a GFS/Wyser-to-habit production bridge.
R5.7.41.3.4.10.22,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_POPULATION_YANG_OPTICAL_KERNEL_BRIDGE_DIAGNOSTIC_ONLY_FAIL_CLOSED,YANG_BI_ROUGHNESS_BRIDGE,MICROPHYSICS_TO_OPTICS_GATE,BLOCKED,false,NO_RUNTIME_ROUGHNESS_DEFAULT,False,Yang/Bi V2 roughness dimension,Step 3I diagnostic Rough000 reference only,,Rough000 is not silently promoted to runtime.
R5.7.41.3.4.10.22,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_POPULATION_YANG_OPTICAL_KERNEL_BRIDGE_DIAGNOSTIC_ONLY_FAIL_CLOSED,BULK_YANG_BI_PSD_INTEGRATION,BULK_OPTICS_GATE,BLOCKED_SCIENTIFIC_INPUTS_PENDING,false,NO_BULK_KEXT_OR_TAU_PROMOTION,False,Step 3I bridge policy,Downstream Step 3J candidate,,Step 3I stops at numeric bridge qualification and does not emit production bulk optics.
R5.7.41.3.4.10.22,R5.7.41.2_SHADOW_COT_AB_FROZEN,WYSER_POPULATION_YANG_OPTICAL_KERNEL_BRIDGE_DIAGNOSTIC_ONLY_FAIL_CLOSED,STEP3I_PRODUCTION_PROMOTION,PROMOTION_GATE,BLOCKED,false,DIAGNOSTIC_ONLY_NO_PRODUCTION_PROMOTION,False,PhysicsCore frozen promotion policy,Step 3I contract,,"No Dmax runtime synthesis, habit/roughness default, bulk tau, or Formation promotion is enabled."
